task_id,subtask_id,stage_segments,mean_duration_frames,median_duration_frames,p25_duration_frames,p75_duration_frames,mean_duration_seconds,median_duration_seconds,p25_duration_seconds,p75_duration_seconds,unique_subtask_texts
0,0,2074,18.475892,19,10,28,3.695178,3.8,2,5.6,158
0,1,2074,40.405014,44,30,52,8.081003,8.8,6,10.4,158
0,2,2074,40.089682,40,33,47,8.017936,8,6.6,9.4,450
hl,0,825,18.214545,18,9,28,3.642909,3.6,1.8,5.6,95
hl,1,825,48.425455,49,42,55,9.685091,9.8,8.4,11,266
hl,2,825,17.50303,18,17,18,3.500606,3.6,3.4,3.6,95
hl,3,825,126,126,126,126,25.2,25.2,25.2,25.2,95
hl,4,825,17,17,17,17,3.4,3.4,3.4,3.4,1
hl,5,825,48.425455,49,42,55,9.685091,9.8,8.4,11,1
orbit,0,826,16.501211,15,7,26,3.300242,3,1.4,5.2,102
orbit,1,826,56.498789,57,51,62,11.299758,11.4,10.2,12.4,104
orbit,2,826,17.491525,17,17,18,3.498305,3.4,3.4,3.6,284
orbit,3,826,130.423729,126,63,189,26.084746,25.2,12.6,37.8,284
orbit,4,826,17,17,17,17,3.4,3.4,3.4,3.4,1
orbit,5,826,56.498789,57,51,62,11.299758,11.4,10.2,12.4,1
building,0,627,16.969697,16,8,24,3.393939,3.2,1.6,4.8,9
building,1,627,39.063796,46,18,54,7.812759,9.2,3.6,10.8,1
building,2,627,16.936204,17,7,26,3.387241,3.4,1.4,5.2,1
building,3,627,462.837321,309,291,685,92.567464,61.8,58.2,137,1
building,4,627,39.063796,46,18,54,7.812759,9.2,3.6,10.8,1
building,5,627,16.076555,15,7,23.5,3.215311,3,1.4,4.7,1
road,0,724,4.748619,5,4,6,0.949724,1,0.8,1.2,3
road,1,724,15.584254,15,13,18,3.116851,3,2.6,3.6,1
road,2,724,16.925414,16,7,26,3.385083,3.2,1.4,5.2,1
road,3,724,453.946133,331,202,467,90.789227,66.2,40.4,93.4,3
road,4,724,15.584254,15,13,18,3.116851,3,2.6,3.6,1
farm,0,133,51.879699,52,47,56,10.37594,10.4,9.4,11.2,2
farm,1,133,16.646617,16,7,25,3.329323,3.2,1.4,5,1
farm,2,133,1419.616541,1246,1009,1785,283.923308,249.2,201.8,357,2
farm,3,133,50.879699,51,46,55,10.17594,10.2,9.2,11,1
obstacle,0,363,7.495868,8,2,12,1.499174,1.6,0.4,2.4,1
obstacle,1,524,397,262.5,217.75,615.75,79.4,52.5,43.55,123.15,1
orbit_multi,0,435,17.142529,16,9,26,3.428506,3.2,1.8,5.2,91
orbit_multi,1,435,35.822989,36,31,40,7.164598,7.2,6.2,8,92
orbit_multi,2,435,17.505747,18,17,18,3.501149,3.6,3.4,3.6,91
orbit_multi,3,435,379,379,379,379,75.8,75.8,75.8,75.8,92
orbit_multi,4,435,18,18,18,18,3.6,3.6,3.6,3.6,1
orbit_multi,5,435,63.142529,64,58,68,12.628506,12.8,11.6,13.6,1
