split,task_id,episodes,episode_percent,total_frames,total_hours_at_5fps,mean_episode_frames,median_episode_frames,mean_stages_per_episode,stage_segments,unique_scenes
train,0,1733,33.487923,171252,9.514,98.818234,99,3,5199,4
train,hl,694,13.410628,190865,10.603611,275.021614,274.5,6,4164,4
train,orbit,696,13.449275,204022,11.334556,293.135057,293.5,6,4176,4
train,building,525,10.144928,302485,16.804722,576.161905,459,6,3150,2
train,road,607,11.729469,306192,17.010667,504.434926,368,5,3035,1
train,farm,114,2.202899,174002,9.666778,1526.333333,1388,4,456,1
train,obstacle,441,8.521739,177617,9.867611,402.759637,275,1.689342,745,4
train,orbit_multi,365,7.05314,193661,10.758944,530.578082,530,6,2190,4
test_seen,0,193,33.506944,19157,1.064278,99.259067,99,3,579,4
test_seen,hl,77,13.368056,21477,1.193167,278.922078,279,6,462,4
test_seen,orbit,77,13.368056,23360,1.297778,303.376623,297,6,462,4
test_seen,building,58,10.069444,35178,1.954333,606.517241,476,6,348,2
test_seen,road,68,11.805556,34551,1.9195,508.102941,387,5,340,1
test_seen,farm,13,2.256944,19854,1.103,1527.230769,1355,4,52,1
test_seen,obstacle,49,8.506944,20010,1.111667,408.367347,291,1.714286,84,4
test_seen,orbit_multi,41,7.118056,21749,1.208278,530.463415,532,6,246,4
test_unseen,0,148,35.491607,14856,0.825333,100.378378,100.5,3,444,4
test_unseen,hl,54,12.94964,15002,0.833444,277.814815,277.5,6,324,4
test_unseen,orbit,53,12.709832,15804,0.878,298.188679,295,6,318,4
test_unseen,building,44,10.551559,32861,1.825611,746.840909,847,6,264,2
test_unseen,road,49,11.7506,26172,1.454,534.122449,497,5,245,1
test_unseen,farm,6,1.438849,10834,0.601889,1805.666667,1890.5,4,24,1
test_unseen,obstacle,34,8.153477,13122,0.729,385.941176,268.5,1.705882,58,4
test_unseen,orbit_multi,29,6.954436,15407,0.855944,531.275862,532,6,174,4
overall,0,2074,33.625162,205265,11.403611,98.970588,99,3,6222,4
overall,hl,825,13.375486,227344,12.630222,275.568485,275,6,4950,4
overall,orbit,826,13.391699,243186,13.510333,294.414044,294,6,4956,4
overall,building,627,10.16537,370524,20.584667,590.947368,471,6,3762,2
overall,road,724,11.738003,366915,20.384167,506.788674,376,5,3620,1
overall,farm,133,2.156291,204690,11.371667,1539.022556,1387,4,532,1
overall,obstacle,524,8.49546,210749,11.708278,402.192748,273.5,1.692748,887,4
overall,orbit_multi,435,7.052529,230817,12.823167,530.613793,531,6,2610,4
